clust,diagonal,height_left,height_right,margin_low,margin_up,length
1,171.60500000000005,104.0575,103.9775,5.5634999999999994,3.2909999999999995,111.476
2,172.00745098039206,104.31666666666665,104.2329411764706,5.125098039215686,3.3501960784313733,111.73274509803919
3,172.31500000000003,104.32500000000003,104.07136363636364,4.292727272727273,3.0863636363636364,113.17999999999998
4,171.87649350649355,103.82896103896104,103.67246753246755,4.116493506493509,3.0440259740259736,113.23532467532473
